"moment","source","target","status"
0,7,8,3
0,5,3,1
0,9,3,3
0,7,6,1
0,6,11,2
0,8,12,1
1,4,2,1
1,2,3,2
1,10,5,3
1,6,1,2
1,12,4,1
1,5,9,3
2,9,3,1
2,3,0,1
2,10,9,2
2,1,2,2
2,11,12,2
2,12,4,3
3,0,12,3
3,11,10,3
3,7,6,3
3,11,9,1
3,5,7,1
3,12,7,3
4,4,3,3
4,7,11,2
4,4,0,1
4,5,7,3
4,11,6,1
4,2,9,1
5,7,4,2
5,10,5,1
5,8,3,3
5,1,2,1
5,9,0,3
5,9,8,2
6,0,9,1
6,5,12,2
6,12,11,1
6,12,4,1
6,5,7,2
6,10,0,2
7,5,12,3
7,6,4,2
7,6,7,2
7,9,10,3
7,2,0,3
7,12,3,2
8,8,5,3
8,1,0,1
8,12,2,2
8,12,4,3
8,9,5,3
8,7,11,2
9,4,2,2
9,0,6,2
9,8,3,3
9,0,11,3
9,1,9,3
9,12,9,3
