"moment","source","target","status"
0,8,3,1
0,6,13,1
0,0,7,1
0,12,8,3
0,13,5,3
0,7,10,3
1,12,8,3
1,1,0,1
1,5,13,2
1,14,13,1
1,14,8,3
1,13,7,3
2,11,4,1
2,13,1,1
2,5,6,1
2,1,6,2
2,5,4,3
2,5,3,1
3,12,2,2
3,9,7,1
3,9,7,3
3,6,8,2
3,13,4,2
3,2,11,3
4,4,1,1
4,5,14,2
4,14,5,3
4,9,2,3
4,8,2,1
4,12,7,3
5,6,1,1
5,5,14,2
5,5,3,3
5,10,6,2
5,1,6,3
5,12,10,3
6,11,12,3
6,2,3,2
6,10,0,2
6,0,10,2
6,2,9,3
6,7,10,2
7,7,0,1
7,14,9,1
7,11,1,3
7,8,0,1
7,12,2,2
7,12,9,3
8,8,12,2
8,1,12,2
8,3,1,3
8,10,4,1
8,13,6,2
8,14,6,1
9,10,6,2
9,10,9,1
9,14,6,1
9,0,2,1
9,1,2,3
9,6,13,1
